Date,Product,SKU,Quantity,Unit Type,Price Per Unit ($),Multiplier,Owner,Repository Slug,Username,Actions Workflow,Notes
2023-08-29,Actions,Compute - UBUNTU,1,minute,0.008,1.0,govuk-one-login,configuration,devdutoitGDS,.github/workflows/teams_and_members.yaml,
2023-08-29,Actions,Compute - UBUNTU,2,minute,0.008,1.0,govuk-one-login,configuration,jamesmelville-gds,.github/workflows/teams_and_members.yaml,
2023-08-30,Actions,Compute - UBUNTU,3,minute,0.008,1.0,govuk-one-login,gds-leavers-detection,devdutoitGDS,.github/workflows/github_leavers_detection.yml,
2023-08-30,Actions,Compute - UBUNTU,2,minute,0.008,1.0,govuk-one-login,configuration,devdutoitGDS,.github/workflows/teams_and_members.yaml,
2023-08-30,Actions,Compute - UBUNTU,1,minute,0.008,1.0,govuk-one-login,configuration,jamesmelville-gds,.github/workflows/teams_and_members.yaml,
2023-08-31,Actions,Compute - UBUNTU,13,minute,0.008,1.0,govuk-one-login,gds-leavers-detection,devdutoitGDS,.github/workflows/github_leavers_detection.yml,
2023-08-31,Actions,Compute - UBUNTU,3,minute,0.008,1.0,govuk-one-login,configuration,devdutoitGDS,.github/workflows/teams_and_members.yaml,
2023-09-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,govuk-one-login,gds-leavers-detection,devdutoitGDS,.github/workflows/github_leavers_detection.yml,
2023-09-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,govuk-one-login,configuration,devdutoitGDS,.github/workflows/teams_and_members.yaml,
2023-09-04,Actions,Compute - UBUNTU,1,minute,0.008,1.0,govuk-one-login,gds-leavers-detection,devdutoitGDS,.github/workflows/github_leavers_detection.yml,
2023-09-04,Actions,Compute - UBUNTU,2,minute,0.008,1.0,govuk-one-login,gds-leavers-detection,jamesmelville-gds,.github/workflows/github_leavers_detection.yml,
2023-09-05,Actions,Compute - UBUNTU,1,minute,0.008,1.0,govuk-one-login,gds-leavers-detection,devdutoitGDS,.github/workflows/github_leavers_detection.yml,
2023-09-05,Actions,Compute - UBUNTU,3,minute,0.008,1.0,govuk-one-login,devplatform-testing-transfer,fpmrqs,.github/workflows/pre-merge-checks.yaml,
2023-09-05,Actions,Compute - UBUNTU,1,minute,0.008,1.0,govuk-one-login,gds-leavers-detection,jamesmelville-gds,.github/workflows/github_leavers_detection.yml,
2023-09-08,Actions,Compute - UBUNTU,1,minute,0.008,1.0,govuk-one-login,configuration,jamesmelville-gds,.github/workflows/teams_and_members.yaml,
2023-09-11,Actions,Compute - UBUNTU,3,minute,0.008,1.0,govuk-one-login,configuration,jamesmelville-gds,.github/workflows/teams_and_members.yaml,
2023-09-11,Actions,Compute - UBUNTU,2,minute,0.008,1.0,govuk-one-login,configuration,two-first-names,.github/workflows/teams_and_members.yaml,
2023-09-13,Actions,Compute - UBUNTU,5,minute,0.008,1.0,govuk-one-login,configuration,jamesmelville-gds,.github/workflows/teams_and_members.yaml,
2023-09-13,Actions,Compute - UBUNTU,2,minute,0.008,1.0,govuk-one-login,configuration,andybrough1977,.github/workflows/teams_and_members.yaml,
2023-09-13,Actions,Compute - UBUNTU,5,minute,0.008,1.0,govuk-one-login,fraud-ssf-config,andybrough1977,.github/workflows/sonarcloud.yml,
2023-09-13,Actions,Compute - UBUNTU,2,minute,0.008,1.0,govuk-one-login,fraud-ssf-config,andybrough1977,.github/workflows/check-pr.yaml,
2023-09-13,Actions,Compute - UBUNTU,11,minute,0.008,1.0,govuk-one-login,fraud-ssf-config,andybrough1977,.github/workflows/publish.yaml,
2023-09-14,Actions,Compute - UBUNTU,7,minute,0.008,1.0,govuk-one-login,fraud-ssf-config,andybrough1977,.github/workflows/publish.yaml,
2023-09-14,Actions,Compute - UBUNTU,1,minute,0.008,1.0,govuk-one-login,fraud-ssf-config,crowlands1,.github/workflows/delete-deployments.yaml,
2023-09-14,Shared Storage,Shared Storage,0.0,gb-day,0.008,1.0,govuk-one-login,fraud-ssf-config,,,
2023-09-15,Actions,Compute - UBUNTU,2,minute,0.008,1.0,govuk-one-login,configuration,Amran-Muse,.github/workflows/teams_and_members.yaml,
2023-09-15,Actions,Compute - UBUNTU,1,minute,0.008,1.0,govuk-one-login,fraud-ssf-config,crowlands1,.github/workflows/delete-deployments.yaml,
2023-09-15,Actions,Compute - UBUNTU,1,minute,0.008,1.0,govuk-one-login,configuration,jamesmelville-gds,.github/workflows/teams_and_members.yaml,
2023-09-15,Shared Storage,Shared Storage,0.0,gb-day,0.008,1.0,govuk-one-login,fraud-ssf-config,,,
